Folder,File,Samples,Max_Law_Length,Min_Law_Length,Max_Code_Length,Min_Code_Length
impot_revenu,cgi_revenus.json,61,23547,119,7574,163
impot_revenu,loi_2022-1158.json,1,7264,7264,491,491
impot_revenu,archives_cgi.json,6,12659,388,219,160
impot_revenu,lfr_2022.json,1,2145,2145,181,181
impot_revenu,vérifications.json,7,1292,146,716,187
impot_revenu,modèle_convention_fiscale_ocde.json,1,3967,3967,2486,2486
aides_logement,arrete_2019-09-27.json,64,10181,61,37583,163
aides_logement,archives.json,138,4845,59,1788,162
aides_logement,code_construction_reglementaire.json,118,44211,76,6993,88
aides_logement,code_construction_legislatif.json,47,4918,127,2731,153
aides_logement,autres_sources.json,9,4848,694,1310,156
aides_logement,code_sécurité_sociale.json,18,4045,53,504,91
allocations_familiales,autres_codes.json,1,563,563,187,187
allocations_familiales,securite_sociale_L.json,17,1698,85,871,94
allocations_familiales,decrets_divers.json,11,3341,36,8951,211
allocations_familiales,securite_sociale_R.json,10,1366,159,338,80
allocations_familiales,epilogue.json,2,1052,1052,4039,4039
allocations_familiales,securite_sociale_D.json,18,1058,97,938,94
tutoriel_fr,tutoriel_fr.json,32,8657,42,626,74
smic,Smic.json,19,750,52,617,150
prestations_familiales,sécurité_sociale_R.json,3,780,226,184,91
prestations_familiales,sécurité_sociale_L.json,3,1780,244,676,229
droit_successions,droit_successions.json,6,1042,216,1349,198
base_mensuelle_allocations_familiales,Bmaf.json,6,1137,597,410,148
