Folder,File,Sample_ID,Law_Length,Code_Length
impot_revenu,cgi_revenus.json,sample_1,1483,163
impot_revenu,cgi_revenus.json,sample_2,3247,4033
impot_revenu,cgi_revenus.json,sample_3,5016,1154
impot_revenu,cgi_revenus.json,sample_4,5870,1022
impot_revenu,cgi_revenus.json,sample_5,1234,1865
impot_revenu,cgi_revenus.json,sample_6,15621,1500
impot_revenu,cgi_revenus.json,sample_7,688,3711
impot_revenu,cgi_revenus.json,sample_8,771,2665
impot_revenu,cgi_revenus.json,sample_9,2420,2297
impot_revenu,cgi_revenus.json,sample_10,227,1639
impot_revenu,cgi_revenus.json,sample_11,4749,227
impot_revenu,cgi_revenus.json,sample_12,568,734
impot_revenu,cgi_revenus.json,sample_13,1166,257
impot_revenu,cgi_revenus.json,sample_14,367,232
impot_revenu,cgi_revenus.json,sample_15,376,247
impot_revenu,cgi_revenus.json,sample_16,5540,248
impot_revenu,cgi_revenus.json,sample_17,5808,334
impot_revenu,cgi_revenus.json,sample_18,23547,517
impot_revenu,cgi_revenus.json,sample_19,9925,1359
impot_revenu,cgi_revenus.json,sample_20,1531,663
impot_revenu,cgi_revenus.json,sample_21,6914,1418
impot_revenu,cgi_revenus.json,sample_22,4886,249
impot_revenu,cgi_revenus.json,sample_23,1177,243
impot_revenu,cgi_revenus.json,sample_24,4300,264
impot_revenu,cgi_revenus.json,sample_25,6563,2626
impot_revenu,cgi_revenus.json,sample_26,612,837
impot_revenu,cgi_revenus.json,sample_27,5243,227
impot_revenu,cgi_revenus.json,sample_28,138,261
impot_revenu,cgi_revenus.json,sample_29,137,191
impot_revenu,cgi_revenus.json,sample_30,10214,2288
impot_revenu,cgi_revenus.json,sample_31,5029,2095
impot_revenu,cgi_revenus.json,sample_32,1983,2444
impot_revenu,cgi_revenus.json,sample_33,1255,1638
impot_revenu,cgi_revenus.json,sample_34,20060,3918
impot_revenu,cgi_revenus.json,sample_35,1041,679
impot_revenu,cgi_revenus.json,sample_36,578,255
impot_revenu,cgi_revenus.json,sample_37,1478,204
impot_revenu,cgi_revenus.json,sample_38,3271,1036
impot_revenu,cgi_revenus.json,sample_39,6368,7574
impot_revenu,cgi_revenus.json,sample_40,1460,177
impot_revenu,cgi_revenus.json,sample_41,873,380
impot_revenu,cgi_revenus.json,sample_42,2231,2136
impot_revenu,cgi_revenus.json,sample_43,2891,1275
impot_revenu,cgi_revenus.json,sample_44,1856,876
